Fold,Accuracy,Balanced_Accuracy,Precision,Recall,F1_Score,MCC
1,0.9166666666666666,0.5,0.0,0.0,0.0,0.0
2,0.8333333333333334,0.45454545454545453,0.0,0.0,0.0,-0.09090909090909091
3,0.8333333333333334,0.5,0.0,0.0,0.0,0.0
4,1.0,1.0,1.0,1.0,1.0,1.0
5,0.8333333333333334,0.7,0.5,0.5,0.5,0.4
6,0.8333333333333334,0.5,0.0,0.0,0.0,0.0
7,0.8333333333333334,0.7,0.5,0.5,0.5,0.4
8,0.8333333333333334,0.5,0.0,0.0,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0
10,1.0,1.0,1.0,1.0,1.0,1.0
