Fold,Accuracy,Precision,Recall,F1-Score,Best
1,83.33%,0.7500,1.0000,0.8571,
2,100.00%,1.0000,1.0000,1.0000,⭐
3,100.00%,1.0000,1.0000,1.0000,
4,66.67%,0.6667,0.6667,0.6667,
5,83.33%,0.7500,1.0000,0.8571,
6,83.33%,0.7500,1.0000,0.8571,
7,100.00%,1.0000,1.0000,1.0000,
8,100.00%,1.0000,1.0000,1.0000,
9,83.33%,1.0000,0.6667,0.8000,
10,100.00%,1.0000,1.0000,1.0000,
