Model,Accuracy,Precision,Recall,F1-Score,MCC,AUC-ROC
Neural Network (QPSO),0.75,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.50709255283711,0.8055555555555556
Quantum Neural Network (QNN),0.75,1.0,0.5,0.6666666666666666,0.5773502691896257,0.9722222222222223
Extra Trees,0.75,0.8,0.6666666666666666,0.7272727272727273,0.50709255283711,0.7916666666666667
Random Forest (QPSO),0.6666666666666666,0.75,0.5,0.6,0.3535533905932738,0.75
SVM (QPSO),0.6666666666666666,0.75,0.5,0.6,0.3535533905932738,0.7777777777777778
K-Nearest Neighbors,0.6666666666666666,0.625,0.8333333333333334,0.7142857142857143,0.3535533905932738,0.6944444444444445
Naive Bayes,0.5833333333333334,0.6,0.5,0.5454545454545454,0.1690308509457033,0.75
Decision Tree,0.5833333333333334,0.6,0.5,0.5454545454545454,0.1690308509457033,0.5833333333333334
Gradient Boosting,0.4166666666666667,0.4,0.3333333333333333,0.36363636363636365,-0.1690308509457033,0.3611111111111111
